Car Name,Price,Mileage,Year,Transmission,Gearbox,Horsepower,Fuel Type,Location,Description
BMW Série 4 Gran Coupé Luxury Line,105 000 DT,138 000 km,2015,Traction,Automatique,10 cv,Essence,Tunis,"P.MAIN 71 779 520
29 551 553"
Land Rover Range Rover Evoque Dynamic SE,99 000 DT,170 000 km,2014,Traction,Automatique,15 cv,Essence,Tunis,"71 779 520
98 337 475"
Volkswagen Golf 8 R-Line,Sous leasing                    214 200 DT,5 000 km,2024,Traction,Automatique,8 cv,Essence,Tunis,"P.MAIN 71 779 520
98 337 475"
Jaguar X-Type BVA,38 000 DT,197 000 km,2008,Traction,Automatique,11 cv,Essence,Tunis,"219tu
71 779 520
29 551 553"
Audi Q3 2.0 TDI,145 000 DT,75 000 km,2019,Traction,Automatique,8 cv,Diesel,Tunis,"P.MAIN 71 779 520
29 551 553"
Nissan Qashqai Tekna,55 000 DT,165 000 km,2014,Traction,Manuelle,6 cv,Essence,Tunis,"71 779 520
29 551 553"
Hyundai i20 High Grade,63 900 DT,30 000 km,2022,Traction,Manuelle,5 cv,Essence,Tunis,"P.MAIN
71 779 520"
Volkswagen T-roc,79 000 DT,85 000 km,2020,Traction,Manuelle,6 cv,Essence,Tunis,71 779 520
Mercedes-Benz Classe C Exclusive,110 000 DT,128 000 km,2017,Traction,Automatique,8 cv,Essence,Tunis,"71 779 520
29 551 553"
Land Rover Range Rover Velar SV autobiography,450 000 DT,98 000 km,2020,Traction,Automatique,47 cv,Essence,Tunis,"98 337 475
71 779 520"
Haval H6 Luxury,80 000 DT,80 000 km,2021,Traction,Automatique,9 cv,Essence,Tunis,"P.MAIN
29 551 553
71 779 520"
Hyundai i20 High Grade,65 000 DT,26 000 km,2023,Traction,Manuelle,5 cv,Essence,Tunis,"P.MAIN
71 779 520
29 551 553"
BMW Série 4 Coupé Pack Sport M,98 000 DT,170 000 km,2015,Traction,Automatique,10 cv,Essence,Tunis,"71 779 520
94 110 013"
Hyundai Creta,74 000 DT,77 000 km,2019,Traction,Manuelle,7 cv,Essence,Tunis,P.MAIN 71 779 520
Hyundai Tucson N Line,105 000 DT,127 000 km,2020,Traction,Automatique,10 cv,Hybride,Tunis,"71 779 520
247tu"
Haval Jolion Standard,76 000 DT,100 000 km,2022,Traction,Automatique,9 cv,Essence,Tunis,"P.MAIN
29 551 553
71 779 520"
KIA Rio 5p SX,49 000 DT,115 000 km,2019,Traction,Manuelle,5 cv,Essence,Tunis,"P.MAIN
98 337 475
71 779 520"
Ford Ranger Raptor,218 000 DT,30 000 km,2021,Traction,Automatique,7 cv,Diesel,Tunis,"P.Main 71 779 520
94 110 013"
KIA Sportage GT-Line,113 000 DT,100 000 km,2021,Traction,Automatique,7 cv,Hybride,Tunis,71 779 520
KIA Rio 5p SX,56 000 DT,47 000 km,2019,Traction,Manuelle,5 cv,Essence,Tunis,71 779 520
Toyota Hilux Double Cabine Double Cabine Business,170 000 DT,83 000 km,2019,Traction,Manuelle,8 cv,Diesel,Tunis,71 779 520
Ssangyong Actyon Sports 4*4,61 000 DT,200 000 km,2019,Traction,Manuelle,7 cv,Diesel,Tunis,P.MAIN 71 779 520
Mercedes-Benz GLA 250e Kit Amg,179 000 DT,60 000 km,2021,Traction,Automatique,9 cv,Hybride,Tunis,"P.MAIN
71 779 520"
KIA Sportage,83 500 DT,111 111 km,2019,Traction,Automatique,8 cv,Essence,Tunis,"P.Main
71 779 520"
Mercedes-Benz Classe A Business,48 000 DT,190 000 km,2013,Traction,Manuelle,6 cv,Essence,Tunis,"29 551 553
71 779 520"
Mercedes-Benz Classe A 250e Kit Amg,139 000 DT,34 000 km,2021,Traction,Automatique,8 cv,Hybride,Tunis,"P.MAin
71 779 520
98 337 475"
Toyota Agya BVA,49 500 DT,17 000 km,2023,Traction,Automatique,5 cv,Essence,Tunis,"P.MAIN km certifié
71 779 520"
Mercedes-Benz Classe A Style,69 000 DT,113 000 km,2015,Traction,Automatique,6 cv,Essence,Tunis,"71 779 520
98 337 475"
Volkswagen Golf 7 Kit GTI,60 000 DT,129 000 km,2018,Traction,Automatique,6 cv,Essence,Tunis,"98 337 475
71 779 520"
BMW X4 Pack M,285 000 DT,65 000 km,2020,Traction,Automatique,10 cv,Diesel,Tunis,"71 779 520
98 337 475"
Mahindra KUV 100 K8,42 900 DT,0 km,2024,Traction,Manuelle,5 cv,Essence,Tunis,"P.MAIN 71 779 520
29 551 553"
Seat Leon Style Plus,49 000 DT,188 000 km,2015,Traction,Automatique,6 cv,Essence,Tunis,71 779 520
BMW Série 3 318i Pack sport,89 000 DT,89 000 km,2019,Traction,Automatique,7 cv,Essence,Tunis,"P.MAIN
29 551 553
71 779 520"
Haval H6,98 000 DT,80 000 km,2022,Traction,Automatique,8 cv,Essence,Tunis,"P.MAIN
71 779 520
98 337 475"
Audi A3 Berline BVA,88 000 DT,17 000 km,2020,Traction,Manuelle,6 cv,Essence,Tunis,"P.MAIN
71 779 520
98 337 475"
Jeep Wrangler Sahara,225 000 DT,115 000 km,2018,Traction,Automatique,20 cv,Essence,Tunis,"P.MAIN
71 779 520"
Peugeot 3008 Allure,88 000 DT,38 000 km,2019,Traction,Automatique,7 cv,Essence,Tunis,"P.MAIN
71 779 520
98 337 475"
Mercedes-Benz Classe C Avantgarde,159 000 DT,27 000 km,2022,Traction,Automatique,8 cv,Essence,Tunis,"P.MAIN
71 779 520
 98 337 475"
Peugeot 3008 Allure,75 000 DT,75 000 km,2020,Traction,Automatique,6 cv,Essence,Tunis,"P.MAIN
71 779 520
98 337 475"
BMW X4,139 000 DT,140 000 km,2018,Traction,Automatique,10 cv,Diesel,Tunis,"P.MAIN
71 779 520"
Volkswagen Polo R-Line,65 500 DT,70 000 km,2020,Traction,Manuelle,4 cv,Essence,Tunis,"P.MAIN
71 779 520
29 551 553"
BMW Série 1 Pack Sport M,75 000 DT,165 000 km,2016,Traction,Automatique,7 cv,Essence,Tunis,71 779 520
Hyundai Tucson Top Grade,147 000 DT,40 000 km,2022,Intégrale,Automatique,10 cv,Essence,Tunis,"P.MAIN
71 779 520"
Lada 4x4 Urban,41 000 DT,58 000 km,2020,Traction,Manuelle,7 cv,Essence,Tunis,"P.MAIN
71 779 520"
Mercedes-Benz Classe X,205 000 DT,68 000 km,2020,Traction,Automatique,8 cv,Diesel,Tunis,"P.MAIN 243tu
71 779 520"
Seat Arona Xperience,89 000 DT,19 000 km,2022,Traction,Automatique,6 cv,Essence,Tunis,"P.MAIN
71 779 520"
Toyota Corolla Dynamic,69 000 DT,85 000 km,2020,Traction,Automatique,6 cv,Essence,Tunis,"P.Main
71 779 520"
Fiat 500X Pop Star,65 000 DT,60 000 km,2018,Traction,Automatique,7 cv,Essence,Tunis,"P.MAIN
71 779 520
98 337 475"
Land Rover Discovery,99 000 DT,170 000 km,2015,Traction,Automatique,15 cv,Essence,Tunis,"P.MAIN
71 779 520
29 551 553"
Haval Jolion,88 000 DT,40 000 km,2021,Traction,Automatique,9 cv,Essence,Tunis,"P.MAIN
71 779 520"
Toyota C-HR,73 000 DT,130 000 km,2018,Traction,Automatique,6 cv,Essence,Tunis,"71 779 520
29 551 553"
Nissan Juke Tekna,92 500 DT,6 000 km,2024,Traction,Automatique,6 cv,Essence,Tunis,"P.MAIN
71 779 520
98 337 475"
Mercedes-Benz Classe C AMG,Sous leasing                    255 100 DT,20 000 km,2023,Traction,Automatique,9 cv,Essence,Tunis,"P.MAIN
71 779 520
98 337 475"
Mercedes-Benz CLA Kit Amg 200,129 000 DT,150 000 km,2020,Traction,Manuelle,9 cv,Essence,Tunis,"245tu
71 779 520
29 551 553"
Seat Ibiza Xcellence,62 000 DT,68 000 km,2021,Traction,Manuelle,6 cv,Essence,Tunis,"P.Main
71 779 520
29 551 553"
Chery Tiggo 7 Pro,101 000 DT,0 km,2024,Traction,Automatique,9 cv,Essence,Tunis,"29 551 553
71 779 520
0mkm"
Audi Q3 BVA,165 000 DT,3 000 km,2023,Traction,Automatique,9 cv,Essence,Tunis,"P.main
71 779 520"
Peugeot 408 GT,155 000 DT,10 000 km,2024,Traction,Automatique,11 cv,Essence,Tunis,"P.main
71 779 520"
BMW Série 6 Face Lift,85 000 DT,190 000 km,2009,Traction,Automatique,17 cv,Essence,Tunis,"71 779 520
98 337 475"
Land Rover Range Rover Sport HSE Dynamic,189 000 DT,300 000 km,2016,Traction,Automatique,19 cv,Diesel,Tunis,"P.main
94 110 013
71 779 520"
KIA Rio 5p GT-Line,62 000 DT,70 000 km,2021,Traction,Manuelle,5 cv,Essence,Tunis,"P.main
71 779 520"
KIA Sportage GT-Line,188 000 DT,15 000 km,2024,Traction,Automatique,7 cv,Hybride,Tunis,"P.main
71 779 520"
Mahindra Pick-up SC,39 000 DT,120 000 km,2021,Traction,Manuelle,7 cv,Diesel,Tunis,"P.Main
71 779 520
29 551 553"
Peugeot 3008,69 000 DT,112 000 km,2020,Traction,Automatique,7 cv,Essence,Tunis,"245tu
71 779 520"
KIA Rio 5p GT-Line,73 000 DT,9 000 km,2023,Traction,Manuelle,5 cv,Essence,Tunis,"P.main km certifié
71 779 520
29 551 553"
Mercedes-Benz Classe C Pack AMG Pack night,152 000 DT,120 000 km,2019,Traction,Automatique,10 cv,Hybride,Tunis,"P.MAIN
71 779 520  98 337 475"
Peugeot 3008 GT GT-line,89 000 DT,125 000 km,2020,Traction,Automatique,6 cv,Essence,Tunis,"240tu 71 779 520
98 337 475"
MG HS Luxury,77 900 DT,87 000 km,2020,Traction,Automatique,9 cv,Essence,Tunis,"71 779 520
Première Main"
Mercedes-Benz GLA AMG,173 000 DT,90 000 km,2021,Traction,Automatique,9 cv,Essence,Tunis,71 779 520
BMW Série 4 Coupé 420i,87 000 DT,180 000 km,2015,Traction,Automatique,10 cv,Essence,Tunis,"71 779 520
98 337 475"
Chery Tiggo 7 Pro,88 000 DT,40 000 km,2022,Traction,Automatique,9 cv,Essence,Tunis,"P.main
71 779 520"
Mercedes-Benz CLA Kit AMG,83 000 DT,124 000 km,2014,Traction,Automatique,9 cv,Essence,Tunis,71 779 520
Citroën C3 Shine,37 500 DT,88 000 km,2018,Traction,Manuelle,4 cv,Essence,Tunis,"Première Main
les entretiens kol fi dar
71 779 520"
Mercedes-Benz Classe C coupé AMG,63 000 DT,200 000 km,2012,Traction,Automatique,9 cv,Essence,Tunis,"71 779 520
198tu"
Renault Clio 4,45 000 DT,120 000 km,2021,Traction,Manuelle,5 cv,Essence,Tunis,71 779 520
Mini 3 portes One,29 000 DT,200 000 km,2009,Traction,Manuelle,5 cv,Essence,Tunis,71 779 520
Hyundai Tucson High Grade,129 000 DT,19 000 km,2023,Traction,Automatique,9 cv,Essence,Tunis,"P.Main 29 551 553
71 779 520"
Nissan Juke Tekna,87 000 DT,53 000 km,2021,Traction,Automatique,6 cv,Essence,Tunis,"P.main
71 779 520
98 337 475"
Jeep Renegade,88 000 DT,88 000 km,2021,Traction,Automatique,8 cv,Essence,Tunis,"P.main
71 779 520
98 337 475"
Mercedes-Benz Classe C,155 000 DT,120 000 km,2019,Traction,Automatique,10 cv,Essence,Tunis,"P.main 244Tu
71 779 520
29 551 553"
Ford Mondeo Hybride,109 000 DT,34 000 km,2020,Traction,Automatique,7 cv,Hybride,Tunis,"P.main
71 779 520
98 337 475
243tu"
Land Rover Range Rover Evoque,120 000 DT,145 000 km,2018,Traction,Automatique,8 cv,Diesel,Tunis,"71 779 520
29 551 553"
Volkswagen Passat,59 000 DT,160 000 km,2016,Traction,Manuelle,6 cv,Essence,Tunis,"P.Main
 71 779 520"
Haval H6,117 000 DT,16 000 km,2022,Traction,Automatique,8 cv,Essence,Tunis,"P.Main
71 779 520"
Haval H6 Luxury,85 000 DT,55 000 km,2021,Traction,Automatique,9 cv,Essence,Tunis,"P.main
71 779 520"
Volkswagen Golf 8,98 000 DT,40 000 km,2022,Traction,Automatique,6 cv,Essence,Tunis,"P.main
71 779 520 / 29 551 553"
Jaguar F-Pace R_Dynamic,179 000 DT,165 000 km,2017,Traction,Automatique,10 cv,Diesel,Tunis,"P.main
98 337 475 / 71 779 520"
Renault Kadjar,70 000 DT,140 000 km,2018,Traction,Automatique,7 cv,Essence,Tunis,"Première Main
94 110 013 / 71 779 520"
Peugeot 308,47 000 DT,128 000 km,2020,Traction,Manuelle,6 cv,Essence,Tunis,"Citadine, 6 cv, transmission Traction"
Mercedes-Benz Classe C coupé AMG,167 000 DT,130 000 km,2018,Traction,Automatique,8 cv,Essence,Tunis,"71 779 520
98 337 475"
Citroën C3 Shine,47 500 DT,45 000 km,2020,Traction,Manuelle,4 cv,Essence,Tunis,"P.main
71 779 520
29 551 553"
Ford Focus Titanium,40 000 DT,200 000 km,2015,Traction,Manuelle,6 cv,Essence,Tunis,"Première Main
71 779 520
98 337 475"
Porsche Panamera,178 000 DT,82 000 km,2011,Traction,Automatique,20 cv,Essence,Tunis,"71 779 520
98 337 475
219tu"
KIA Seltos,89 000 DT,130 000 km,2021,Traction,Automatique,8 cv,Essence,Tunis,"P.Main
29 551 553
71 779 520"
Seat Ibiza FR,81 000 DT,40 000 km,2023,Propulsion,Automatique,6 cv,Essence,Tunis,71 779 520
Alfa Romeo Giulietta,77 000 DT,37 000 km,2019,Traction,Automatique,7 cv,Essence,Tunis,71 779 520
Land Rover Discovery R-DYNAMIC,235 000 DT,87 000 km,2020,Traction,Automatique,8 cv,Diesel,Tunis,"P.main
98 337 475
71 779 520"
Volkswagen Golf 7 Confortline,49 000 DT,190 000 km,2013,Traction,Automatique,6 cv,Essence,Tunis,71 779 520
Renault Megane 4 Diesel,64 500 DT,125 000 km,2020,Traction,Manuelle,5 cv,Diesel,Tunis,"P.Main 245Tu
94 110 013 / 71 779 520"
KIA Rio 5p GT-Line,65 000 DT,60 000 km,2021,Traction,Manuelle,5 cv,Essence,Tunis,"P.main
71 779 520"
Fiat Fiorino,35 000 DT,120 000 km,2021,Traction,Manuelle,5 cv,Diesel,Tunis,"P.Main
71 779 520"
Dacia Duster Techroad,75 000 DT,35 000 km,2020,Traction,Manuelle,6 cv,Essence,Tunis,"P.main 71 779 520
Installation gaz"
BMW Série 5 530e Xdrive Pack m,278 000 DT,50 000 km,2021,Traction,Automatique,10 cv,Hybride,Tunis,"P.main
71 779 520"
BMW Série 4 Gran Coupé 418 Luxury,97 000 DT,133 000 km,2016,Traction,Automatique,7 cv,Essence,Tunis,71 779 520
Volkswagen Passat R-Line DSG,125 000 DT,40 000 km,2022,Traction,Automatique,7 cv,Essence,Tunis,"Première Main
71 779 520"
Toyota Hilux Double Cabine Gr Sport,290 000 DT,7 000 km,2024,Traction,Manuelle,9 cv,Diesel,Tunis,"Première Main
71 779 520"
Toyota C-HR,91 000 DT,55 000 km,2022,Traction,Automatique,6 cv,Essence,Tunis,"Première Main
71 779 520"
Audi A5 Sportback S-Line,109 000 DT,120 000 km,2019,Traction,Automatique,8 cv,Essence,Tunis,"Première Main
71 779 520"
Peugeot 2008,80 000 DT,100 000 km,2021,Traction,Manuelle,6 cv,Diesel,Tunis,"P.main
71 779 520"
KIA Rio 5p,Sous leasing                    59 700 DT,85 000 km,2022,Traction,Manuelle,5 cv,Essence,Tunis,"P.Main
71 779 520"
Honda CR-V,91 000 DT,67 000 km,2018,Traction,Automatique,11 cv,Essence,Tunis,"P.main
71 779 520"
Audi Q5 S-line,295 000 DT,40 000 km,2021,Traction,Automatique,11 cv,Diesel,Tunis,"Première Main 245Tu
71 779 520"
KIA Sportage Hybride,107 000 DT,114 000 km,2021,Traction,Automatique,7 cv,Hybride,Tunis,"P.main
244Tu
71 779 520
29 551 553"
KIA Sportage GT-Line,128 000 DT,19 000 km,2021,Traction,Manuelle,7 cv,Diesel,Tunis,"P.main
245Tu / 71 779 520"
Dacia Duster Techroad,76 000 DT,34 000 km,2020,Traction,Manuelle,6 cv,Essence,Tunis,"Première Main 245Tu
71 779 520"
Mercedes-Benz Classe S,570 000 DT,3 000 km,2024,Traction,Automatique,16 cv,Hybride,Tunis,"Première Main
71 779 520 / 240Tu"
BMW X5 Hybride Xdrive E45,455 000 DT,19 000 km,2021,Traction,Automatique,15 cv,Hybride,Tunis,"P.main / 245tu
71 779 520"
Hyundai Tucson Hybride Xcellence,138 000 DT,120 000 km,2022,Traction,Automatique,10 cv,Hybride,Tunis,"Première Main
245Tu"
BMW Série 1 I Pack Sport,75 000 DT,200 000 km,2019,Traction,Automatique,7 cv,Essence,Tunis,"Première Main
71 779 520"
KIA Sportage GT-Line,105 000 DT,140 000 km,2017,Traction,Automatique,10 cv,Diesel,Tunis,"Première Main / peinture d'origine
71 779 520"
Mercedes-Benz Classe C AMG,235 000 DT,50 000 km,2023,Traction,Automatique,9 cv,Essence,Tunis,"Première Main 245Tu
71 779 520"
Jaguar XE,120 000 DT,140 000 km,2017,Traction,Automatique,9 cv,Diesel,Tunis,"P.main
71 779 520"
Peugeot Rifter,72 000 DT,95 000 km,2020,Traction,Manuelle,7 cv,Diesel,Tunis,"Première Main
71 779 520"
BMW Série 7 740LI,110 000 DT,98 000 km,2010,Traction,Automatique,23 cv,Essence,Tunis,71 779 520
Peugeot Rifter 5 places,72 000 DT,95 000 km,2020,Traction,Manuelle,7 cv,Diesel,Tunis,"Premiere main
29 551 553
71 779 520"
Land Rover Range Rover Evoque,188 000 DT,50 000 km,2019,Traction,Automatique,9 cv,Diesel,Tunis,"Première Main
71 779 520
242Tu"
Ford Mondeo Hybride,115 000 DT,32 000 km,2020,Traction,Automatique,7 cv,Hybride,Tunis,"229tu
71 779 520"
KIA Rio 5p GT-Line,64 000 DT,64 000 km,2021,Traction,Manuelle,5 cv,Essence,Tunis,"Première Main
71 779 520"
Mercedes-Benz GLC AMG,169 000 DT,115 000 km,2017,Traction,Automatique,12 cv,Essence,Tunis,"P.main
71 779 520
98 337 475"
Mini 5 portes One,57 000 DT,78 000 km,2016,Traction,Manuelle,6 cv,Essence,Tunis,"98 337 475
71 779 520"
Citroën C3 Shine,48 000 DT,28 000 km,2020,Traction,Manuelle,4 cv,Essence,Tunis,"Première Main
km certifie
71 779 520"
Audi A3 Berline,85 000 DT,50 000 km,2019,Traction,Automatique,6 cv,Essence,Tunis,"Première Main
243tunis
71 779 520"
KIA Sportage,83 500 DT,127 000 km,2019,Traction,Automatique,8 cv,Essence,Tunis,"P.main
71 779 520"
Mercedes-Benz GLA AMG,Non dédouané                    235 000 DT,12 000 km,2023,Traction,Automatique,11 cv,Essence,Tunis,"71 779 520
P.main 245tu"
Audi Q3,95 000 DT,95 000 km,2017,Traction,Automatique,7 cv,Essence,Tunis,"71 779 520
29 551553"
Mercedes-Benz GLB 200 d,210 000 DT,111 000 km,2021,Traction,Automatique,9 cv,Diesel,Tunis,Première Main
Audi A4 Face_lift,58 000 DT,143 000 km,2016,Traction,Automatique,7 cv,Essence,Tunis,"29 551 553
71 779 520"
Land Rover Range Rover Evoque Face_lift,95 000 DT,170 000 km,2016,Traction,Automatique,15 cv,Essence,Tunis,"71 779 520
98 337 475"
BMW Série 1 Pack M,135 000 DT,40 000 km,2020,Traction,Automatique,7 cv,Essence,Tunis,"Première Main
71 779 520
98 337 475"
Land Rover Range Rover Evoque Hybride,195 000 DT,40 000 km,2019,Traction,Automatique,9 cv,Diesel,Tunis,"98 337 475
71 779 520"
Haval H6 Luxury,79 000 DT,120 000 km,2020,Traction,Automatique,9 cv,Essence,Tunis,"71 779 520
29 551 553"
Iveco Daily Simple Cabine,105 000 DT,40 000 km,2022,Propulsion,Manuelle,10 cv,Diesel,Tunis,"Première Main
71 779 520"
Land Rover Discovery Sport,128 000 DT,128 000 km,2017,Traction,Automatique,8 cv,Diesel,Tunis,"Première Main
71 779 520"
KIA Sportage Hybride,98 000 DT,140 000 km,2020,Traction,Automatique,7 cv,Hybride,Tunis,"Première Main
244Tu"
Audi Q5 QUATTRO 40 TDI,165 000 DT,170 000 km,2019,Traction,Automatique,12 cv,Diesel,Tunis,"Première Main
235tu
98 337 475
71 779 520"
Fiat Panda City Cross,43 500 DT,52 000 km,2020,Traction,Manuelle,4 cv,Essence,Tunis,"Première Main
98 337 475
71 779 520"
Ford Ranger Raptor,228 000 DT,100 000 km,2022,Traction,Automatique,7 cv,Diesel,Tunis,"Première Main
98 337 475
71 779 520"
BMW Série 4 Coupé Pack M,130 000 DT,140 000 km,2021,Traction,Automatique,7 cv,Essence,Tunis,Première Main
Mercedes-Benz Classe B,48 000 DT,100 000 km,2014,Traction,Manuelle,7 cv,Essence,Tunis,"Première Main
 98 337 475
71 779 520"
Land Rover Range Rover Evoque Hybride,210 000 DT,60 000 km,2019,Traction,Automatique,8 cv,Diesel,Tunis,"239tu
71 779 520"
Renault Kadjar,68 000 DT,70 000 km,2019,Traction,Manuelle,7 cv,Essence,Tunis,"Première Main
71 779 520"
Mazda 3 Sky active,56 000 DT,103 000 km,2017,Traction,Manuelle,6 cv,Essence,Tunis,71 779 520
Audi Q8 S_Line,398 000 DT,16 000 km,2021,Traction,Automatique,23 cv,Essence,Tunis,"Première Main
71 779 520
98 337 475"
Mercedes-Benz Classe C coupé AMG,173 000 DT,50 000 km,2019,Traction,Automatique,9 cv,Essence,Tunis,"Première Main
232tu
71 779 520"
MG ZS,Sous leasing                    78 000 DT,35 000 km,2022,Traction,Manuelle,7 cv,Essence,Tunis,"Première Main
Dossier leasing
71 779 520"
Suzuki Baleno,40 000 DT,160 000 km,2017,Traction,Automatique,5 cv,Essence,Tunis,"Première Main
71 779 520"
KIA Sportage,95 000 DT,69 000 km,2019,Traction,Automatique,8 cv,Essence,Tunis,"Première Main
les entretiens chez maison kia
71 779 520"
Ford Kuga,69 000 DT,100 000 km,2017,Traction,Manuelle,8 cv,Essence,Tunis,"Première Main
71 779 520"
Mercedes-Benz CLS AMG,119 000 DT,160 000 km,2011,Traction,Automatique,11 cv,Diesel,Tunis,"Première Main
71 779 520"
Mercedes-Benz GLA 180 Pack AMG,185 000 DT,40 000 km,2022,Traction,Automatique,7 cv,Essence,Tunis,"Première Main
71 779 520"
Seat Arona,73 500 DT,26 000 km,2021,Traction,Manuelle,6 cv,Essence,Tunis,"Première Main,
71 779 520"
Toyota Corolla,71 000 DT,90 000 km,2021,Traction,Automatique,6 cv,Essence,Tunis,"P;main
71 779 520"
Haval H6 Luxury,79 000 DT,115 000 km,2020,Traction,Automatique,9 cv,Essence,Tunis,"SUV/4x4, 9 cv, transmission Traction"
Skoda Superb Ambassador,125 000 DT,30 000 km,2021,Traction,Automatique,8 cv,Essence,Tunis,Première Main
MG 6,79 000 DT,22 000 km,2021,Traction,Automatique,8 cv,Essence,Tunis,Première Main
Mercedes-Benz GLC Coupé AMG,189 000 DT,190 000 km,2017,Traction,Automatique,9 cv,Diesel,Tunis,"SUV/4x4, 9 cv, transmission Traction"
Mercedes-Benz Classe C 180 elegance,89 000 DT,170 000 km,2016,Traction,Automatique,8 cv,Essence,Tunis,"Berline, 8 cv, transmission Traction"
Mercedes-Benz GLC Coupé AMG,278 000 DT,69 000 km,2020,Traction,Automatique,12 cv,Hybride,Tunis,"SUV/4x4, 12 cv, transmission Traction"
Mercedes-Benz Classe E 180,135 000 DT,90 000 km,2018,Traction,Automatique,9 cv,Essence,Tunis,Première Main
Ssangyong Actyon Sports,42 000 DT,200 000 km,2017,Traction,Manuelle,7 cv,Diesel,Tunis,"Pick up, 7 cv, transmission Traction"
Citroën DS3,35 000 DT,138 000 km,2012,Traction,Automatique,6 cv,Essence,Tunis,Première Main
Nissan Qashqai,43 000 DT,147 000 km,2011,Traction,Automatique,9 cv,Essence,Tunis,1ére main ex RS TU 240
BMW Série 5 Confort Luxury,90 000 DT,200 000 km,2015,Traction,Automatique,10 cv,Essence,Tunis,"Berline, 10 cv, transmission Traction"
Volkswagen Passat R-Line,101 000 DT,100 000 km,2019,Traction,Automatique,8 cv,Essence,Tunis,Premiere Main
Land Rover Discovery Sport,125 000 DT,160 000 km,2017,Traction,Automatique,8 cv,Diesel,Tunis,Première Main
Citroën C3 Shine,44 500 DT,90 000 km,2019,Traction,Manuelle,4 cv,Essence,Tunis,Première Main
Volkswagen Amarok,49 000 DT,370 000 km,2012,Traction,Manuelle,7 cv,Diesel,Tunis,"SUV/4x4, 7 cv, transmission Traction"
Mercedes-Benz Classe E Business,Sous leasing                    291 800 DT,8 000 km,2022,Traction,Automatique,9 cv,Essence,Tunis,"Berline, 9 cv, transmission Traction"
Mini 3 portes one,37 000 DT,140 000 km,2013,Traction,Manuelle,4 cv,Essence,Tunis,71 779 520
BMW Série 1,68 000 DT,126 000 km,2017,Traction,Manuelle,7 cv,Essence,Tunis,"Citadine, 7 cv, transmission Traction"
Toyota Hilux Double Cabine 4*4,231 000 DT,3 000 km,2024,Traction,Manuelle,8 cv,Essence,Tunis,Importe
Peugeot 2008 Allure,97 000 DT,34 000 km,2022,Traction,Automatique,7 cv,Essence,Tunis,"Première Main
full option"
Mercedes-Benz Classe A AMG,158 000 DT,20 000 km,2022,Traction,Automatique,8 cv,Essence,Tunis,Première Main
Volkswagen Passat R-Line,106 000 DT,60 000 km,2019,Traction,Automatique,8 cv,Essence,Tunis,Première Main
Volkswagen Tiguan,90 000 DT,60 000 km,2018,Traction,Automatique,7 cv,Essence,Tunis,Première Main
Mercedes-Benz Classe C AMG,99 000 DT,160 000 km,2014,Traction,Automatique,9 cv,Essence,Tunis,"Berline, 9 cv, transmission Traction"
Chery Tiggo 8 Pro,96 000 DT,80 000 km,2022,Traction,Automatique,11 cv,Essence,Tunis,Pmain
BYD F3,47 000 DT,10 000 km,2022,Traction,Manuelle,7 cv,Essence,Tunis,"Première Main
29 551 553
71 779 520"
Citroën C3 Shine,44 500 DT,58 000 km,2019,Traction,Manuelle,5 cv,Essence,Tunis,Première Main
Audi Q3 S-line,90 000 DT,100 000 km,2017,Traction,Automatique,7 cv,Essence,Tunis,"SUV/4x4, 7 cv, transmission Traction"
Volkswagen Golf 8 United,109 000 DT,26 000 km,2020,Traction,Manuelle,6 cv,Essence,Tunis,Première Main
Peugeot 208,35 000 DT,60 000 km,2020,Traction,Manuelle,4 cv,Essence,Tunis,Première Main
Audi A5 Cabriolet S-line,59 000 DT,120 000 km,2010,Traction,Automatique,10 cv,Essence,Tunis,Pm
Honda Accord,135 000 DT,11 000 km,2022,Traction,Automatique,10 cv,Essence,Tunis,"Première Main
full option"
Volkswagen Golf 7,74 000 DT,40 000 km,2019,Traction,Manuelle,5 cv,Essence,Tunis,"Première Main
241tu"
KIA Sportage,119 000 DT,40 000 km,2020,Traction,Automatique,8 cv,Essence,Tunis,"Première Main
242Tu"
BMW Série 2 Gran Coupé 218i,135 000 DT,21 000 km,2022,Traction,Automatique,8 cv,Essence,Tunis,Première Main
Fiat Tipo 5 portes,46 000 DT,75 000 km,2018,Traction,Manuelle,5 cv,Essence,Tunis,"Citadine, 5 cv, transmission Traction"
Haval H6,Sous leasing                    150 600 DT,13 000 km,2022,Traction,Automatique,8 cv,Essence,Tunis,"SUV/4x4, 8 cv, transmission Traction"
Volkswagen Golf 7 Smartline,52 000 DT,140 000 km,2015,Traction,Automatique,5 cv,Essence,Tunis,"Citadine, 5 cv, transmission Traction"
Haval H6 Luxury,78 000 DT,90 000 km,2019,Traction,Automatique,9 cv,Essence,Tunis,"SUV/4x4, 9 cv, transmission Traction"
Chevrolet Cruze,40 000 DT,90 000 km,2018,Traction,Manuelle,7 cv,Essence,Tunis,"Première Main
Kilométrage certifie"
Volkswagen Golf 7,76 000 DT,29 000 km,2019,Traction,Manuelle,6 cv,Essence,Tunis,"Importe
241Tu"
Mercedes-Benz Classe E 200,51 000 DT,330 000 km,2010,Traction,Automatique,10 cv,Essence,Tunis,"Offre 3jours 51mille au lieux de 60mille
a cause de départ a l'étranger"
