Price,Mileage,Year,Transmission,Gearbox,Horsepower,Fuel Type,Location,Brand,Model,Exterior Color,Interior Color,Upholstery,Seats,Doors,Energy,Gearbox Type,Fiscal Power,Transmission Type,Engine Displacement
63 500DT,189 000km,11.2019,Traction,Manuelle,5cv,Diesel,Sousse,Renault,Megane,Blanc,Noir,Tissu,5,5,Diesel,Manuelle,5cv,Traction,1499cm³
57 296DT,209 000km,10.2011,Propulsion,Manuelle,7cv,Essence,Sousse,Volkswagen,Golf 6,Bleu,Gris,Alcantara,5,5,Essence,Manuelle,7cv,Propulsion,1197cm³
66 131DT,28 500km,04.2021,Traction,Manuelle,5cv,Essence,Sfax,Peugeot,208,Gris argent,Beige,Tissu,5,5,Essence,Manuelle,5cv,Traction,999cm³
70 774DT,300 000km,06.2010,Traction,Automatique,10cv,Diesel,Ariana,Mercedes-Benz,Classe E,Noir,Marron,Cuir intégral,5,4,Diesel,Automatique,10cv,Traction,2000cm³
94 512DT,70 000km,01.2020,Traction,Manuelle,6cv,Essence,Ben Arous,Volkswagen,Golf 7,Blanc,Noir,Tissu,5,4,Essence,Manuelle,6cv,Traction,999cm³
92 108DT,8 000km,09.2022,Traction,Automatique,6cv,Essence,Sfax,KIA,Rio 5p,Gris Shark,Noir,Tissu,5,5,Essence,Automatique,6cv,Traction,1399cm³
69 392DT,124 000km,09.2021,Traction,Manuelle,5cv,Essence,Tunis,KIA,Rio 5p,Bleu,Noir,Tissu,5,5,Essence,Manuelle,5cv,Traction,1198cm³
112 574DT,133 000km,08.2021,Propulsion,Manuelle,6cv,Diesel,Sousse,KIA,Sportage,Marron,Noir,Cuir partiel,5,5,Diesel,Manuelle,6cv,Propulsion,1598cm³
94 400DT,167 000km,01.2016,Traction,Automatique,7cv,Essence,Ben Arous,BMW,Série 3,Noir,N/A,N/A,N/A,N/A,Essence,Automatique,7cv,Traction,N/A
93 543DT,157 000km,06.2013,Intégrale,Automatique,10cv,Diesel,Ariana,Audi,Q5,Noir,Noir,Cuir intégral,5,5,Diesel,Automatique,10cv,Intégrale,2000cm³
88 162DT,29 500km,02.2022,Traction,Manuelle,7cv,Essence,Tunis,Ford,Ecosport,Bleu,Noir,Tissu,5,5,Essence,Manuelle,7cv,Traction,998cm³
164 727DT,32 000km,08.2021,Traction,Automatique,8cv,Hybride rechargeable essence,Sousse,Mercedes-Benz,Classe A Berline,Noir,Noir,Cuir intégral,5,4,Hybride rechargeable essence,Automatique,8cv,Traction,1332cm³
67 181DT,130 000km,12.2014,Traction,Manuelle,5cv,Essence,Ariana,Volkswagen,Golf 7,Noir,Gris,Tissu,5,5,Essence,Manuelle,5cv,Traction,1200cm³
102 594DT,85 000km,01.2021,Traction,Manuelle,8cv,Essence,Tunis,Jeep,Renegade,Noir,Noir,Tissu,5,5,Essence,Manuelle,8cv,Traction,1300cm³
88 212DT,26 043km,06.2016,Traction,Manuelle,7cv,Essence,Ariana,Volkswagen,Golf 7,Gris argent,Gris,Alcantara,5,4,Essence,Manuelle,7cv,Traction,1400cm³
50 492DT,186 000km,03.2019,Propulsion,Manuelle,6cv,Essence,Ben Arous,Peugeot,308,Noir,Noir,Tissu,5,4,Essence,Manuelle,6cv,Propulsion,1000cm³
51 698DT,155 000km,07.2021,Traction,Manuelle,5cv,Essence,Bizerte,Hyundai,Grand i10,Blanc,Noir,Tissu,5,4,Essence,Manuelle,5cv,Traction,1197cm³
43 007DT,204 000km,09.2011,Traction,Manuelle,4cv,Essence,Sousse,Fiat,Punto,Gris Shark,Noir,Tissu,5,5,Essence,Manuelle,4cv,Traction,1200cm³
83 480DT,184 000km,06.2014,Traction,Manuelle,6cv,Diesel,Tunis,Volkswagen,Tiguan,Autre,Gris,Similicuir,5,5,Diesel,Manuelle,6cv,Traction,1968cm³
150 454DT,120 000km,12.2017,Intégrale,Automatique,9cv,Diesel,Tunis,Jaguar,XE,Gris anthracite,Autre,Cuir intégral,5,5,Diesel,Automatique,9cv,Intégrale,1999cm³
188 462DT,171 000km,02.2011,Intégrale,Automatique,11cv,Diesel,Tunis,Toyota,Prado,Gris argent,Gris,Cuir partiel,7,5,Diesel,Automatique,11cv,Intégrale,2800cm³
60 695DT,124 000km,07.2018,Traction,Manuelle,4cv,Essence,Ben Arous,Seat,Ibiza,Gris argent,Noir,Tissu,5,4,Essence,Manuelle,4cv,Traction,999cm³
66 731DT,115 000km,11.2019,Traction,Manuelle,5cv,Essence,Tunis,KIA,Rio 5p,Rouge,Noir,Tissu,5,5,Essence,Manuelle,5cv,Traction,1199cm³
64 337DT,148 000km,10.2020,Traction,Manuelle,5cv,Diesel,Nabeul,Peugeot,Partner,Blanc,Noir,Tissu,2,2,Diesel,Manuelle,5cv,Traction,1499cm³
117 117DT,100 000km,10.2019,Traction,Automatique,8cv,Essence,Tunis,Volkswagen,Passat,Noir,Noir,Cuir intégral,5,5,Essence,Automatique,8cv,Traction,1499cm³
68 166DT,183 000km,06.2015,Traction,Automatique,5cv,Essence,Sousse,Volkswagen,Golf 7,Noir,Gris,Tissu,5,5,Essence,Automatique,5cv,Traction,1197cm³
72 779DT,110 000km,03.2021,Traction,Manuelle,7cv,Essence,Tunis,MG,ZS,Noir,Beige,Similicuir,5,4,Essence,Manuelle,7cv,Traction,1493cm³
90 520DT,90 000km,08.2021,Traction,Automatique,6cv,Essence,Tunis,Toyota,Corolla,Blanc,Noir,Tissu,5,5,Essence,Automatique,6cv,Traction,1200cm³
102 411DT,132 000km,06.2018,Traction,Automatique,9cv,Essence,Ben Arous,Peugeot,3008,Noir,Noir,Similicuir,5,5,Essence,Automatique,9cv,Traction,1598cm³
40 283DT,187 200km,02.2009,Traction,Manuelle,4cv,Essence,Ben Arous,Volkswagen,Polo,Noir,Gris,Tissu,5,5,Essence,Manuelle,4cv,Traction,1198cm³
103 230DT,55 000km,08.2019,Traction,Automatique,9cv,Essence,Ben Arous,Haval,H6,Marron,N/A,N/A,N/A,N/A,Essence,Automatique,9cv,Traction,N/A
57 429DT,111 000km,05.2019,Traction,Automatique,5cv,Essence,Tunis,KIA,Picanto,Rouge,Noir,Similicuir,5,4,Essence,Automatique,5cv,Traction,1198cm³
36 007DT,150 000km,12.2014,Traction,Manuelle,7cv,Essence,Tunis,Fiat,Linea,Noir,Gris,Tissu,5,4,Essence,Manuelle,7cv,Traction,1368cm³
53 054DT,135 000km,11.2021,Traction,Manuelle,5cv,Essence,Ben Arous,Renault,Clio,Gris argent,Noir,Tissu,5,5,Essence,Manuelle,5cv,Traction,1000cm³
89 516DT,108 000km,02.2021,Traction,Automatique,6cv,Diesel,Nabeul,Citroën,C5 Aircross,Vert,Noir,Alcantara,5,5,Diesel,Automatique,6cv,Traction,1498cm³
122 352DT,200 000km,06.2016,Intégrale,Automatique,15cv,Essence,Ariana,Mitsubishi,Pajero,Gris argent,Beige,Velours,7,4,Essence,Automatique,15cv,Intégrale,3500cm³
169 572DT,15 000km,08.2020,Traction,Automatique,8cv,Essence,Ariana,Audi,Q3 Sportback,Blanc,Noir,Cuir partiel,5,5,Essence,Automatique,8cv,Traction,1400cm³
64 931DT,150 000km,05.2021,Traction,Manuelle,5cv,Essence,Tunis,Volkswagen,Polo Sedan,Noir,Noir,Similicuir,5,5,Essence,Manuelle,5cv,Traction,1400cm³
99 076DT,17 000km,07.2020,Traction,Manuelle,6cv,Essence,Tunis,Audi,A3 Berline,Noir,Noir,Tissu,5,5,Essence,Manuelle,6cv,Traction,1200cm³
142 207DT,132 000km,09.2017,Traction,Automatique,9cv,Essence,Ben Arous,Mercedes-Benz,Classe E,Noir,Noir,Cuir intégral,5,5,Essence,Automatique,9cv,Traction,1600cm³
68 312DT,80 000km,10.2018,Traction,Manuelle,5cv,Essence,Ariana,KIA,Rio 5p,Gris Shark,Noir,Tissu,5,4,Essence,Manuelle,5cv,Traction,1200cm³
163 128DT,80 000km,04.2018,Propulsion,Automatique,10cv,Essence,Sfax,BMW,Série 5,Gris Shark,Beige,Cuir partiel,5,5,Essence,Automatique,10cv,Propulsion,2000cm³
87 146DT,20 000km,10.2022,Traction,Automatique,5cv,Essence,Tunis,Opel,Astra,Aubergine,Noir,Cuir intégral,5,4,Essence,Automatique,5cv,Traction,1000cm³
98 008DT,121 000km,07.2020,Traction,Automatique,8cv,Essence,Ben Arous,KIA,Sportage,Gris anthracite,Noir,Similicuir,5,4,Essence,Automatique,8cv,Traction,1598cm³
147 671DT,170 000km,03.2017,Traction,Automatique,8cv,Diesel,Mahdia,Land Rover,Range Rover Evoque,Noir,Beige,Alcantara,5,4,Diesel,Automatique,8cv,Traction,1999cm³
267 057DT,11 000km,02.2024,Propulsion,Automatique,9cv,Hybride essence,Tunis,Mercedes-Benz,Classe C,Autre,Noir,Cuir intégral,5,4,Hybride essence,Automatique,9cv,Propulsion,1999cm³
380 774DT,21 808km,08.2023,Intégrale,Automatique,17cv,Essence,Ariana,Porsche,Macan,Blanc,Rouge,Cuir intégral,5,5,Essence,Automatique,17cv,Intégrale,1984cm³
162 737DT,28 000km,05.2022,Intégrale,Automatique,11cv,Hybride rechargeable essence,Tunis,Hyundai,Tucson Hybride,Gris Shark,Noir,Tissu,5,5,Hybride rechargeable essence,Automatique,11cv,Intégrale,1600cm³
114 100DT,70 000km,05.2022,Traction,Automatique,8cv,Essence,Bizerte,Haval,H6,Noir,Noir,Cuir intégral,5,5,Essence,Automatique,8cv,Traction,1500cm³
102 827DT,88 000km,09.2021,Traction,Automatique,8cv,Essence,Tunis,Jeep,Renegade,Blanc,Noir,Tissu,5,5,Essence,Automatique,8cv,Traction,1599cm³
180 054DT,29 000km,09.2013,Intégrale,Automatique,11cv,Essence,Tunis,BMW,Série 5,Blanc,Beige,Cuir intégral,5,4,Essence,Automatique,11cv,Intégrale,1997cm³
59 607DT,273 000km,07.2019,Traction,Manuelle,6cv,Essence,Ariana,Seat,Leon,Blanc,Noir,Tissu,5,4,Essence,Manuelle,6cv,Traction,1198cm³
142 254DT,63 000km,05.2021,Traction,Automatique,5cv,Hybride rechargeable essence,Tunis,KIA,Niro Hybride,Noir,Noir,Similicuir,5,5,Hybride rechargeable essence,Automatique,5cv,Traction,1600cm³
84 401DT,50 000km,08.2020,Traction,Manuelle,6cv,Essence,Tunis,Seat,Ibiza,Noir,Gris,Tissu,5,5,Essence,Manuelle,6cv,Traction,1599cm³
65 829DT,62 000km,09.2021,Traction,Automatique,5cv,Essence,Ariana,Hyundai,Grand i10,Noir,Noir,Tissu,5,4,Essence,Automatique,5cv,Traction,1198cm³
62 504DT,93 000km,02.2010,Propulsion,Manuelle,9cv,Essence,Ben Arous,Mercedes-Benz,Classe C,Noir,Beige,Cuir intégral,5,5,Essence,Manuelle,9cv,Propulsion,1597cm³
72 515DT,200 000km,10.2020,Traction,Automatique,5cv,Essence,Tunis,Volkswagen,Golf 7,Gris argent,Noir,Tissu,5,5,Essence,Automatique,5cv,Traction,1199cm³
173 117DT,200 000km,12.2012,Traction,Automatique,20cv,Diesel,Ariana,BMW,Série 7,Blanc,Marron,Similicuir,5,4,Diesel,Automatique,20cv,Traction,2998cm³
62 362DT,178 000km,01.2019,Traction,Manuelle,6cv,Essence,Tunis,KIA,Cerato 5p,Noir,Gris,Tissu,5,5,Essence,Manuelle,6cv,Traction,1398cm³
222 103DT,111 000km,01.2021,Traction,Automatique,9cv,Diesel,Tunis,Mercedes-Benz,GLB,Noir,Noir,Cuir intégral,5,5,Diesel,Automatique,9cv,Traction,2000cm³
191 241DT,90 000km,04.2010,Traction,Automatique,48cv,Essence,Ariana,BMW,X6,Noir,Noir,Cuir intégral,4,5,Essence,Automatique,48cv,Traction,4395cm³
117 437DT,197 000km,06.2016,Traction,Automatique,7cv,Diesel,Ben Arous,Mercedes-Benz,Classe C,Noir,Noir,Tissu,5,4,Diesel,Automatique,7cv,Traction,2143cm³
55 480DT,104 000km,07.2018,Intégrale,Manuelle,6cv,Essence,Tunis,Great Wall,M4,Gris argent,Noir,Similicuir,5,4,Essence,Manuelle,6cv,Intégrale,1500cm³
238 549DT,39 000km,05.2018,Traction,Automatique,9cv,Diesel,Tunis,Mercedes-Benz,GLC,Noir,Noir,Cuir intégral,5,5,Diesel,Automatique,9cv,Traction,1950cm³
77 607DT,94 000km,12.2020,Traction,Manuelle,7cv,Essence,Tunis,Ford,Ecosport,Gris anthracite,Autre,Similicuir,5,5,Essence,Manuelle,7cv,Traction,998cm³
107 030DT,125 000km,02.2019,Propulsion,Automatique,8cv,Essence,Ariana,Mercedes-Benz,Classe C,Noir,Noir,Tissu,5,5,Essence,Automatique,8cv,Propulsion,1595cm³
154 054DT,76 000km,01.2020,Propulsion,Automatique,7cv,Diesel,Sousse,Mercedes-Benz,CLA,Blanc,Noir,Alcantara,5,5,Diesel,Automatique,7cv,Propulsion,1611cm³
38 583DT,140 000km,05.2015,Traction,Manuelle,6cv,Essence,Tunis,Fiat,Linea,Noir,Noir,Tissu,5,4,Essence,Manuelle,6cv,Traction,1400cm³
91 247DT,242 000km,10.2012,Traction,Automatique,15cv,Essence,Ben Arous,Land Rover,Range Rover Evoque,Blanc,Marron,Cuir intégral,5,5,Essence,Automatique,15cv,Traction,1999cm³
77 016DT,40 000km,02.2022,Traction,Manuelle,5cv,Essence,Sousse,KIA,Rio 5p,Rouge,Noir,Tissu,5,4,Essence,Manuelle,5cv,Traction,1197cm³
91 100DT,37 000km,09.2019,Traction,Automatique,7cv,Essence,Tunis,Alfa Romeo,Giulietta,Noir,Noir,Tissu,5,5,Essence,Automatique,7cv,Traction,1399cm³
128 262DT,83 000km,10.2019,Propulsion,Automatique,7cv,Essence,Ariana,BMW,Série 4 Gran Coupé,Blanc,Marron,Cuir intégral,5,5,Essence,Automatique,7cv,Propulsion,1499cm³
125 775DT,20 000km,04.2018,Traction,Automatique,7cv,Essence,Ben Arous,Mercedes-Benz,CLA,Noir,Beige,Similicuir,5,4,Essence,Automatique,7cv,Traction,1598cm³
48 754DT,300 000km,04.2003,Traction,Manuelle,10cv,Diesel,Ariana,Jeep,Grand Cherokee,Gris Shark,Noir,Cuir intégral,5,5,Diesel,Manuelle,10cv,Traction,1000cm³
154 226DT,20 000km,06.2022,Traction,Automatique,8cv,Essence,Ben Arous,Audi,A3 Berline,Noir,Gris,Tissu,5,5,Essence,Automatique,8cv,Traction,1400cm³
65 725DT,195 000km,08.2013,Traction,Manuelle,5cv,Essence,Ben Arous,Volkswagen,Golf 7,Blanc,Noir,Tissu,5,5,Essence,Manuelle,5cv,Traction,1200cm³
63 779DT,122 000km,08.2014,Traction,Automatique,8cv,Essence,Tunis,Hyundai,Veloster,Orange,Noir,Similicuir,5,3,Essence,Automatique,8cv,Traction,1591cm³
162 480DT,112 000km,09.2019,Traction,Automatique,10cv,Hybride essence,Ben Arous,Mercedes-Benz,Classe C,Gris anthracite,Noir,Similicuir,5,4,Hybride essence,Automatique,10cv,Traction,1498cm³
173 094DT,20 000km,09.2022,Traction,Automatique,8cv,Essence,Tunis,Mercedes-Benz,Classe A,Gris Shark,Noir,Alcantara,5,5,Essence,Automatique,8cv,Traction,1599cm³
129 116DT,107 000km,09.2020,Propulsion,Automatique,7cv,Essence,Ben Arous,BMW,Série 4 Gran Coupé,Bleu,Noir,Alcantara,5,4,Essence,Automatique,7cv,Propulsion,1800cm³
56 488DT,166 000km,05.2017,Traction,Automatique,5cv,Essence,Ben Arous,Suzuki,Baleno,Blanc,Noir,Tissu,5,4,Essence,Automatique,5cv,Traction,1398cm³
189 789DT,40 000km,06.2020,Traction,Automatique,10cv,Essence,Ariana,BMW,Série 5,Blanc,Noir,Cuir intégral,5,5,Essence,Automatique,10cv,Traction,1000cm³
106 030DT,118 000km,02.2021,Traction,Manuelle,7cv,Hybride diesel,Nabeul,Hyundai,Tucson Hybride,Blanc,Noir,Alcantara,5,5,Hybride diesel,Manuelle,7cv,Traction,1598cm³
57 210DT,161 000km,02.2018,Traction,Manuelle,6cv,Essence,Ben Arous,Ford,Focus,Gris anthracite,Autre,Similicuir,5,4,Essence,Manuelle,6cv,Traction,999cm³
104 854DT,97 000km,05.2021,Traction,Automatique,11cv,Essence,Tunis,Citroën,C5 Aircross,Blanc,Marron,Cuir intégral,5,5,Essence,Automatique,11cv,Traction,1170cm³
43 471DT,120 000km,05.2017,Traction,Manuelle,5cv,Essence,Ben Arous,Nissan,Micra,Bleu,Beige,Tissu,5,4,Essence,Manuelle,5cv,Traction,1198cm³
90 023DT,79 800km,06.2021,Traction,Automatique,9cv,Essence,Ben Arous,Chery,Tiggo 4,Blanc,Noir,Cuir intégral,5,4,Essence,Automatique,9cv,Traction,cm³
53 921DT,126 000km,02.2019,Propulsion,Automatique,5cv,Essence,Ben Arous,KIA,Picanto,Blanc,Noir,Cuir intégral,5,4,Essence,Automatique,5cv,Propulsion,1200cm³
14 919DT,146 000km,11.2020,Traction,Automatique,8cv,Diesel,Sousse,Mercedes-Benz,Classe C,Gris anthracite,Noir,Alcantara,5,5,Diesel,Automatique,8cv,Traction,2000cm³
42 885DT,500 000km,06.1995,Intégrale,Manuelle,10cv,Diesel,Nabeul,Mitsubishi,Pajero,Bleu,Noir,Similicuir,4,2,Diesel,Manuelle,10cv,Intégrale,cm³
170 566DT,20 742km,11.2023,Traction,Manuelle,11cv,Diesel,Ariana,Mitsubishi,Pajero,Gris argent,Gris,Tissu,7,4,Diesel,Manuelle,11cv,Traction,2800cm³
457 166DT,0km,04.2024,Intégrale,Automatique,11cv,Hybride rechargeable essence,Ariana,Mercedes-Benz,GLC Coupé,Noir,Gris,Cuir intégral,5,4,Hybride rechargeable essence,Automatique,11cv,Intégrale,2000cm³
68 812DT,150 000km,03.2005,Traction,Automatique,43cv,Essence,Ariana,Porsche,Cayenne,Gris argent,Rouge,Cuir intégral,5,5,Essence,Automatique,43cv,Traction,1000cm³
118 236DT,170 000km,04.2014,Traction,Automatique,15cv,Essence,Tunis,Land Rover,Range Rover Evoque,Blanc,Rouge,Cuir intégral,5,5,Essence,Automatique,15cv,Traction,2999cm³
166 320DT,56 000km,11.2020,Propulsion,Automatique,8cv,Hybride rechargeable essence,Sousse,Mercedes-Benz,GLA,Blanc,Noir,Cuir partiel,5,4,Hybride rechargeable essence,Automatique,8cv,Propulsion,1332cm³
158 956DT,112 000km,09.2019,Traction,Automatique,10cv,Hybride essence,Ben Arous,Mercedes-Benz,Classe C,Gris anthracite,Noir,Similicuir,5,4,Hybride essence,Automatique,10cv,Traction,1498cm³
50 929DT,233 000km,01.2011,Traction,Manuelle,7cv,Essence,Ben Arous,Audi,A4,Noir,Noir,Similicuir,5,4,Essence,Manuelle,7cv,Traction,1798cm³
71 762DT,183 000km,06.2015,Traction,Automatique,5cv,Essence,Sousse,Volkswagen,Golf 7,Noir,Gris,Tissu,5,5,Essence,Automatique,5cv,Traction,1197cm³
59 963DT,120 000km,09.2016,Traction,Manuelle,5cv,Essence,Ariana,Hyundai,i20,Bleu,Gris,Tissu,5,5,Essence,Manuelle,5cv,Traction,1097cm³
198 140DT,88 000km,03.2017,Intégrale,Automatique,13cv,Diesel,Ben Arous,BMW,X5,Blanc,Marron,Cuir intégral,7,5,Diesel,Automatique,13cv,Intégrale,1995cm³
93 778DT,78 000km,07.2021,Traction,Automatique,9cv,Essence,Ben Arous,Haval,Jolion,Noir,Autre,Similicuir,5,4,Essence,Automatique,9cv,Traction,1498cm³
54 575DT,273 000km,07.2019,Traction,Manuelle,6cv,Essence,Ariana,Seat,Leon,Blanc,Noir,Tissu,5,4,Essence,Manuelle,6cv,Traction,1198cm³
177 829DT,57 000km,07.2017,Propulsion,Automatique,21cv,Essence,Tunis,Ford,Mustang,Bleu,Noir,Similicuir,4,3,Essence,Automatique,21cv,Propulsion,2261cm³
79 197DT,74 000km,06.2021,Traction,Manuelle,5cv,Essence,Ben Arous,KIA,Rio 5p,Blanc,Noir,Tissu,5,5,Essence,Manuelle,5cv,Traction,1248cm³
113 641DT,97 000km,03.2017,Traction,Automatique,7cv,Essence,Nabeul,BMW,Série 4 Gran Coupé,Blanc,Beige,Cuir partiel,5,5,Essence,Automatique,7cv,Traction,1598cm³
581 920DT,3 000km,12.2023,Traction,Automatique,16cv,Hybride essence,Tunis,Mercedes-Benz,Classe S,Noir,Gris,Cuir intégral,5,5,Hybride essence,Automatique,16cv,Traction,2999cm³
58 490DT,200 000km,03.2010,Traction,Manuelle,7cv,Essence,Tunis,Volkswagen,Scirocco,Noir,Noir,Tissu,4,3,Essence,Manuelle,7cv,Traction,1400cm³
264 793DT,15 000km,02.2022,Traction,Automatique,9cv,Essence,Ben Arous,Mercedes-Benz,Classe E,Blanc,Noir,Similicuir,5,4,Essence,Automatique,9cv,Traction,1498cm³
63 066DT,124 000km,09.2021,Traction,Manuelle,5cv,Essence,Tunis,KIA,Rio 5p,Bleu,Noir,Tissu,5,5,Essence,Manuelle,5cv,Traction,1198cm³
85 576DT,165 000km,01.2016,Traction,Automatique,7cv,Essence,Tunis,BMW,Série 1,Bleu,Noir,Alcantara,5,5,Essence,Automatique,7cv,Traction,1699cm³
188 460DT,103 000km,01.2011,Traction,Automatique,30cv,Essence,Ben Arous,Porsche,Panamera,Bleu,Beige,Cuir partiel,4,4,Essence,Automatique,30cv,Traction,4800cm³
43 570DT,282 000km,11.2014,Traction,Manuelle,5cv,Essence,Ben Arous,Volkswagen,Polo Sedan,Gris Shark,Gris,Tissu,5,4,Essence,Manuelle,5cv,Traction,1400cm³
55 594DT,107 000km,05.2018,Traction,Manuelle,5cv,Essence,Ariana,Great Wall,M4,Gris argent,Gris,Cuir intégral,5,5,Essence,Manuelle,5cv,Traction,1124cm³
69 301DT,190 000km,09.2008,Traction,Automatique,20cv,Essence,Ariana,Infiniti,FX,Blanc,N/A,N/A,N/A,N/A,Essence,Automatique,20cv,Traction,N/A
266 947DT,15 000km,02.2022,Propulsion,Automatique,9cv,Essence,Tunis,Mercedes-Benz,Classe E,Blanc,Noir,Similicuir,5,5,Essence,Automatique,9cv,Propulsion,1499cm³
58 729DT,120 000km,11.2020,Traction,Manuelle,4cv,Essence,Sousse,Fiat,Panda City Cross,Noir,Gris,Tissu,5,4,Essence,Manuelle,4cv,Traction,1200cm³
127 546DT,156 000km,08.2019,Traction,Automatique,8cv,Essence,Ariana,Volkswagen,Tiguan,Gris argent,Marron,Cuir intégral,4,5,Essence,Automatique,8cv,Traction,1398cm³
207 446DT,120 000km,03.2018,Traction,Automatique,16cv,Essence,Tunis,Porsche,Macan,Marron,Marron,Tissu,4,4,Essence,Automatique,16cv,Traction,1000cm³
46 160DT,205 000km,11.2017,Traction,Manuelle,4cv,Essence,Médenine,Hyundai,Grand i10,Gris anthracite,Autre,Tissu,5,5,Essence,Manuelle,4cv,Traction,1248cm³
46 748DT,230 000km,03.2012,Traction,Manuelle,7cv,Essence,Sfax,Renault,Megane coupé,Autre,Beige,Tissu,5,3,Essence,Manuelle,7cv,Traction,cm³
64 091DT,120 000km,04.2012,Traction,Automatique,7cv,Essence,Tunis,BMW,Série 1,Noir,Noir,Tissu,5,4,Essence,Automatique,7cv,Traction,1598cm³
47 019DT,163 000km,12.2019,Traction,Manuelle,5cv,Essence,Ben Arous,Chevrolet,Sonic,Noir,Noir,Tissu,5,4,Essence,Manuelle,5cv,Traction,1198cm³
48 198DT,90 000km,02.2019,Traction,Manuelle,5cv,Essence,Tunis,Hyundai,Grand i10 Sedan,Bleu,Noir,Tissu,5,5,Essence,Manuelle,5cv,Traction,1200cm³
57 276DT,100 000km,08.2021,Traction,Manuelle,5cv,Essence,Tunis,Hyundai,Grand i10,Gris Shark,Noir,Tissu,5,5,Essence,Manuelle,5cv,Traction,1200cm³
76 848DT,260 000km,04.2016,Traction,Manuelle,5cv,Diesel,Ben Arous,Volkswagen,Golf 7,Bleu,Noir,Tissu,5,5,Diesel,Manuelle,5cv,Traction,1600cm³
103 808DT,150 000km,02.2016,Intégrale,Automatique,8cv,Essence,Sousse,Mercedes-Benz,Classe C,Noir,Noir,Tissu,6,4,Essence,Automatique,8cv,Intégrale,1595cm³
109 698DT,76 000km,02.2020,Traction,Automatique,11cv,Essence,Tunis,Jeep,Compass,Noir,Noir,Tissu,4,4,Essence,Automatique,11cv,Traction,1000cm³
52 168DT,111 000km,01.2018,Traction,Automatique,4cv,Essence,Nabeul,Fiat,500,Bleu,Autre,Tissu,4,3,Essence,Automatique,4cv,Traction,1242cm³
73 633DT,60 000km,12.2022,Traction,Manuelle,5cv,Essence,Ben Arous,KIA,Rio 5p,Gris anthracite,Noir,Similicuir,5,5,Essence,Manuelle,5cv,Traction,1198cm³
131 567DT,146 000km,03.2017,Traction,Automatique,8cv,Essence,Tunis,Mercedes-Benz,Classe C,Blanc,Noir,Similicuir,5,4,Essence,Automatique,8cv,Traction,1595cm³
53 084DT,295 000km,10.2011,Traction,Automatique,5cv,Diesel,Ben Arous,Volkswagen,Golf 6,Gris anthracite,Marron,Similicuir,5,4,Diesel,Automatique,5cv,Traction,1598cm³
64 225DT,239 000km,10.2009,Propulsion,Automatique,11cv,Essence,Tunis,Mercedes-Benz,Classe C,Gris argent,Noir,Tissu,5,4,Essence,Automatique,11cv,Propulsion,1796cm³
122 764DT,12 800km,12.2022,Traction,Automatique,8cv,Essence,Ariana,Seat,Leon,Blanc,Noir,Tissu,4,5,Essence,Automatique,8cv,Traction,1398cm³
33 587DT,320 000km,10.2000,Traction,Manuelle,4cv,Essence,Monastir,Peugeot,206,Gris argent,Gris,Tissu,5,4,Essence,Manuelle,4cv,Traction,cm³
102 682DT,183 000km,08.2014,Propulsion,Automatique,8cv,Essence,Tunis,Mercedes-Benz,Classe C,Noir,Noir,Tissu,5,4,Essence,Automatique,8cv,Propulsion,cm³
69 206DT,109 000km,02.2015,Traction,Manuelle,5cv,Essence,Tunis,Volkswagen,Golf 7,Blanc,Gris,Tissu,5,5,Essence,Manuelle,5cv,Traction,1197cm³
96 884DT,219 000km,08.2016,Traction,Automatique,10cv,Essence,Monastir,BMW,Série 5,Noir,Beige,Cuir intégral,5,4,Essence,Automatique,10cv,Traction,cm³
113 212DT,43 000km,09.2022,Propulsion,Automatique,11cv,Essence,Tunis,Chery,Tiggo 8 Pro,Marron,Marron,Similicuir,7,5,Essence,Automatique,11cv,Propulsion,1600cm³
172 795DT,49 000km,11.2021,Traction,Automatique,8cv,Hybride rechargeable essence,Tunis,Mercedes-Benz,CLA,Noir,Noir,Velours,5,5,Hybride rechargeable essence,Automatique,8cv,Traction,1332cm³
91 700DT,78 000km,03.2020,Traction,Manuelle,5cv,Diesel,Ben Arous,Citroën,Berlingo,Blanc,Noir,Tissu,5,4,Diesel,Manuelle,5cv,Traction,1498cm³
138 015DT,185 000km,01.2012,Intégrale,Automatique,15cv,Diesel,Tunis,BMW,X6,Gris Shark,Gris,Cuir intégral,4,5,Diesel,Automatique,15cv,Intégrale,3000cm³
39 510DT,175 000km,09.2008,Intégrale,Manuelle,5cv,Essence,Ariana,Citroën,C2,Gris Shark,Gris,Tissu,4,2,Essence,Manuelle,5cv,Intégrale,3800cm³
141 820DT,192 000km,08.2019,Traction,Manuelle,8cv,Diesel,Ben Arous,Toyota,Hilux Double Cabine,Gris argent,Noir,Similicuir,5,4,Diesel,Manuelle,8cv,Traction,2398cm³
121 763DT,55 000km,01.2021,Traction,Automatique,7cv,Diesel,Sousse,KIA,Sportage,Noir,Noir,Similicuir,5,4,Diesel,Automatique,7cv,Traction,1598cm³
181 208DT,49 000km,11.2021,Traction,Automatique,8cv,Hybride rechargeable essence,Tunis,Mercedes-Benz,CLA,Noir,Noir,Velours,5,5,Hybride rechargeable essence,Automatique,8cv,Traction,1332cm³
